Format,2.0A,Unnamed: 2
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-7.0,,
-8.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-11.0,,
-10.0,,
-7.0,,
-9.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
8.0,,
6.0,,
6.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-11.0,,
-7.0,,
-8.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
7.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-7.0,,
-8.0,,
-8.0,,
3.0,,
3.0,,
13.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
7.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-9.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
8.0,,
6.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
6.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-9.0,,
-8.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
6.0,,
7.0,,
7.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-11.0,,
-10.0,,
-7.0,,
-8.0,,
-8.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
8.0,,
6.0,,
6.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
6.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-7.0,,
-8.0,,
-7.0,,
3.0,,
4.0,,
14.0,,
14.0,,
10.0,,
9.0,,
6.0,,
7.0,,
6.0,,
6.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-9.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
8.0,,
6.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
8.0,,
6.0,,
7.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
4.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
7.0,,
7.0,,
7.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
8.0,,
6.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
13.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
7.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
4.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
6.0,,
7.0,,
7.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-7.0,,
-8.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
7.0,,
7.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
7.0,,
7.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-11.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
6.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
10.0,,
10.0,,
6.0,,
7.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
7.0,,
6.0,,
6.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-11.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
7.0,,
8.0,,
7.0,,
-3.0,,
-4.0,,
-14.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-7.0,,
-8.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
6.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
8.0,,
6.0,,
7.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-10.0,,
-11.0,,
-7.0,,
-8.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
8.0,,
6.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-10.0,,
-11.0,,
-15.0,,
-14.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-14.0,,
1.0,,
2.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-10.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
7.0,,
7.0,,
-11.0,,
-10.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-10.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-14.0,,
1.0,,
2.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
6.0,,
5.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-10.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
7.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
2.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-10.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-14.0,,
1.0,,
2.0,,
13.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
2.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-10.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-14.0,,
1.0,,
2.0,,
13.0,,
14.0,,
6.0,,
6.0,,
-10.0,,
-11.0,,
-15.0,,
-13.0,,
2.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
2.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-10.0,,
-10.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-14.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-10.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
13.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-10.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-10.0,,
-11.0,,
-15.0,,
-13.0,,
2.0,,
2.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
7.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
2.0,,
1.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
7.0,,
7.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-14.0,,
1.0,,
1.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-14.0,,
1.0,,
2.0,,
13.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
13.0,,
14.0,,
9.0,,
10.0,,
6.0,,
6.0,,
7.0,,
7.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-8.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-9.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
15.0,,
7.0,,
7.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
2.0,,
2.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
8.0,,
6.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-8.0,,
-8.0,,
3.0,,
4.0,,
14.0,,
15.0,,
9.0,,
10.0,,
7.0,,
7.0,,
7.0,,
6.0,,
-4.0,,
-4.0,,
-14.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
8.0,,
6.0,,
7.0,,
-3.0,,
-4.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
7.0,,
7.0,,
-10.0,,
-11.0,,
-15.0,,
-14.0,,
1.0,,
1.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
7.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-8.0,,
-8.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
7.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-10.0,,
-11.0,,
-7.0,,
-9.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
13.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-14.0,,
1.0,,
1.0,,
14.0,,
14.0,,
6.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-14.0,,
1.0,,
2.0,,
13.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
7.0,,
6.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-8.0,,
-8.0,,
10.0,,
10.0,,
14.0,,
13.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-8.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-14.0,,
1.0,,
2.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
7.0,,
6.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-16.0,,
-11.0,,
-11.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
7.0,,
7.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
1.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
7.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-3.0,,
-3.0,,
-14.0,,
-15.0,,
-7.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
13.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-9.0,,
-7.0,,
-8.0,,
3.0,,
3.0,,
14.0,,
14.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-14.0,,
1.0,,
2.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
7.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-14.0,,
-15.0,,
-8.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
8.0,,
6.0,,
6.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-8.0,,
-8.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-3.0,,
-3.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
13.0,,
-3.0,,
-2.0,,
-14.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-8.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
15.0,,
7.0,,
6.0,,
-11.0,,
-11.0,,
-15.0,,
-13.0,,
1.0,,
2.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
6.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-14.0,,
-15.0,,
-7.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
13.0,,
-2.0,,
-2.0,,
-14.0,,
-15.0,,
-7.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
13.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-14.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-7.0,,
-8.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
9.0,,
6.0,,
8.0,,
6.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-3.0,,
-2.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-14.0,,
-15.0,,
-7.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
13.0,,
-2.0,,
-3.0,,
-14.0,,
-15.0,,
-7.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-14.0,,
-15.0,,
-7.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-10.0,,
-10.0,,
-7.0,,
-9.0,,
-7.0,,
-7.0,,
3.0,,
3.0,,
14.0,,
14.0,,
9.0,,
10.0,,
6.0,,
6.0,,
8.0,,
7.0,,
-4.0,,
-4.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-14.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-7.0,,
-7.0,,
10.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-3.0,,
-14.0,,
-15.0,,
-7.0,,
-7.0,,
9.0,,
10.0,,
14.0,,
12.0,,
-2.0,,
-2.0,,
-15.0,,
-15.0,,
-8.0,,
-7.0,,
10.0,,
